Area,BHK,Bathroom,Locality,Price
990,2,2,Shahdara,4100000
800,3,2,Shahdara,3800000
675,2,1,Shahdara,3300000
558,2,1,Shahdara,2900000
445,2,1,Shahdara,2000000
360,2,1,Shahdara,1550000
1350,4,3,Shahdara,11300000
850,3,2,Shahdara,4500000
846,2,1,Shahdara,3300000
1300,4,3,Shahdara,11500000
900,3,2,Shahdara,6000000
1050,3,2,Shahdara,9000000
850,2,2,Shahdara,4500000
1650,4,3,Shahdara,14000000
1150,2,2,Shahdara,7300000
495.1394,1,1,Shahdara,1900000
1053,3,2,Shahdara,7000000
810,3,2,Shahdara,6000000
750,1,2,Shahdara,6400000
540,2,1,Shahdara,2700000
747,2,2,Shahdara,6500000
720,2,1,Shahdara,4000000
376.7365,1,1,Shahdara,3000000
1125,2,2,Shahdara,5000000
713,2,2,Shahdara,6000000
360,1,1,Shahdara,2500000
900,2,2,Shahdara,6500000
713,3,1,Shahdara,8000000
504,2,1,Shahdara,2700000
70,1,2,Shahdara,4500000
850,3,2,Shahdara,5700000
2430,4,3,Shahdara,25000000
2475,3,3,Shahdara,70000000
2970,7,4,Shahdara,26500000
2250,3,2,Shahdara,18500000
1500,5,3,Shahdara,30000000
1512,2,2,Shahdara,22000000
400,2,2,Okhla,9000000
2160,3,3,Shahdara,65000000
630,3,2,Shahdara,22500000
324,6,3,Shahdara,8700000
720,6,5,Shahdara,22000000
675,4,2,Shahdara,18500000
700,2,1,Shahdara,16000000
675,4,3,Shahdara,16000000
720,4,2,Shahdara,9000000
850,2,2,Shahdara,4500000
801,3,2,Laxmi Nagar,6000000
450,1,2,Laxmi Nagar,2700000
1000,3,2,Laxmi Nagar,6500000
990,3,2,Laxmi Nagar,4000000
420,2,1,Laxmi Nagar,2600000
450,2,1,Laxmi Nagar,3500000
1000,2,2,Laxmi Nagar,7500000
900,3,2,Laxmi Nagar,7000000
800,3,2,Laxmi Nagar,4500000
720,3,3,Laxmi Nagar,5500000
450,2,1,Laxmi Nagar,2700000
675,2,2,Laxmi Nagar,2400000
1700,4,3,Laxmi Nagar,11500000
550,2,2,Laxmi Nagar,3600000
387,1,2,Laxmi Nagar,1700000
450,2,1,Laxmi Nagar,2500000
900,4,2,Laxmi Nagar,6600000
500,2,1,Laxmi Nagar,3700000
441,2,1,Laxmi Nagar,3500000
800,3,2,Laxmi Nagar,5400000
450,2,2,Laxmi Nagar,2550000
1000,3,3,Laxmi Nagar,12500000
715,2,2,Laxmi Nagar,5600000
600,2,2,Laxmi Nagar,7000000
540,2,1,Laxmi Nagar,3500000
312,4,4,Laxmi Nagar,35000000
810,3,2,Laxmi Nagar,9000000
270,1,1,Laxmi Nagar,2300000
900,3,2,Laxmi Nagar,6000000
1000,3,2,Laxmi Nagar,6000000
540,2,2,Uttam Nagar,2650000
950,3,2,Uttam Nagar,4370000
1000,3,2,Dwarka,4620000
540,2,2,Dwarka,3000000
540,2,2,Uttam Nagar,3300000
1000,3,2,Uttam Nagar,5510000
500,2,2,Dwarka,3200000
540,2,2,Uttam Nagar,2600000
780,3,2,Uttam Nagar,4000000
450,2,1,Uttam Nagar,1850000
360,1,1,Uttam Nagar,1700000
900,3,2,Dwarka,2800000
495,2,2,Uttam Nagar,2150000
1200,4,3,Dwarka,6800000
1000,3,2,Uttam Nagar,6200000
620,2,2,Uttam Nagar,3100000
680,3,2,Dwarka,3400000
805,2,2,Uttam Nagar,4000000
540,2,2,Uttam Nagar,2500000
360,1,1,Uttam Nagar,2000000
550,2,2,Uttam Nagar,1900000
1001,3,2,Dwarka,5800000
450,2,2,Dwarka,2900000
550,2,1,Uttam Nagar,2000000
550,2,2,Uttam Nagar,2600000
675,2,1,Uttam Nagar,2900000
585,2,2,Uttam Nagar,3200000
810,3,2,Uttam Nagar,5400000
765,3,2,Dwarka,3800000
4688,5,4,Patel Nagar,135000000
3901,4,4,Patel Nagar,93000000
70,2,3,Patel Nagar,8200000
800,3,2,Patel Nagar,8000000
900,3,2,Patel Nagar,9500000
1680,4,5,Patel Nagar,20000000
900,2,2,Patel Nagar,7400000
2000,3,3,Patel Nagar,37500000
2000,4,4,Patel Nagar,15000000
1900,3,3,Patel Nagar,55300000
1530,3,3,Patel Nagar,26500000
100,3,2,Patel Nagar,16000000
900,3,2,Patel Nagar,10400000
270,1,1,Patel Nagar,1700000
950,2,2,Patel Nagar,8000000
1800,3,3,Patel Nagar,27000000
1500,3,3,Patel Nagar,19500000
1800,3,3,Patel Nagar,50000000
1800,3,3,Patel Nagar,21100000
2306,3,3,Patel Nagar,57000000
850,2,3,Patel Nagar,5900000
140,3,2,Patel Nagar,12000000
900,3,2,Patel Nagar,12000000
1800,3,3,Patel Nagar,24000000
200,1,1,Patel Nagar,7000000
1782,3,3,Patel Nagar,15000000
900,2,2,Patel Nagar,1500000
405,2,1,Patel Nagar,3950000
1500,3,3,Patel Nagar,12500000
66,3,1,Patel Nagar,1600000
2000,4,4,DDA Flats,36500000
1200,3,2,DDA Flats,20000000
1100,2,2,Vasant Kunj,15000000
1400,3,2,Vasant Kunj,25000000
1600,3,2,DDA Flats,18500000
1600,4,3,DDA Flats,23500000
600,1,1,Vasant Kunj,8000000
1600,3,2,Vasant Kunj,23000000
2000,3,3,DDA Flats,31000000
650,1,2,DDA Flats,7400000
1100,2,2,Vasant Kunj,15500000
1075,2,2,DDA Flats,12000000
1450,3,2,DDA Flats,23500000
1200,3,2,Vasant Kunj,25000000
600,1,2,Vasant Kunj,7000000
1000,2,2,DDA Flats,17500000
1600,3,2,Vasant Kunj,25000000
1750,4,4,Vasant Kunj,29000000
1300,3,3,DDA Flats,21900000
550,1,2,Vasant Kunj,7500000
2200,4,3,DDA Flats,23500000
1100,2,2,Vasant Kunj,24000000
1700,3,2,Vasant Kunj,31000000
1100,2,2,Vasant Kunj,16500000
1000,2,2,Vasant Kunj,5000000
1350,3,2,Vasant Kunj,24000000
1184,2,2,Vasant Kunj,17000000
2000,4,2,Vasant Kunj,40000000
3500,4,4,Vasant Kunj,22500000
900,3,3,Vasant Kunj,20000000
4688,5,4,Patel Nagar,135000000
750,2,2,Rohini,5000000
3901,4,4,Patel Nagar,93000000
950,3,2,Uttam Nagar,4370000
1000,3,2,Dwarka,4620000
850,2,1,Dwarka,1900000
2400,4,4,Greater Kailash,70000000
1350,3,2,Dwarka,5130000
540,2,2,Dwarka,3000000
1387,4,4,Dwarka,5890000
540,2,2,Uttam Nagar,3300000
976,2,2,Okhla,24900000
1050,3,2,Dwarka,3700000
2700,4,3,Greater Kailash,60000000
1500,3,2,Dwarka,17400000
5025,5,6,Greater Kailash,170000000
1000,3,2,Uttam Nagar,5510000
1135,3,3,Karol Bagh,25000000
2306,3,3,Patel Nagar,57000000
1200,3,3,Dwarka,15500000
1700,3,2,Dwarka,17200000
1800,4,3,Vasant Kunj,55000000
1100,2,2,Vasant Kunj,15000000
22050,4,4,Greater Kailash,51000000
1550,4,3,Rohini,13000000
1600,3,3,Greater Kailash,30000000
